Comment link,Commenter's Name,Commenter's Channel,Likes,Responses,Posted time,Edited time,comment,video title,labels,keyword 1,keyword 2,keyword 3
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=Ugy7YofLMGu99eEjUzt4AaABAg,Im Kreepy,http://www.youtube.com/channel/UCjaBZ_Zgnl78rXAnz0KKOvw,0,0,2021-06-01T17:26:55Z,2021-06-01T17:26:55Z,My family and I have only flown with Spirit and have not had a single bad experience. We live in western PA so it might just be better here 😂,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgygqjhPMTxdJxhwhTZ4AaABAg,Pr0xy Th3 Pr0t0,http://www.youtube.com/channel/UChCZx8OVDbelF0ryH8Wf2zQ,0,0,2021-06-01T17:24:06Z,2021-06-01T17:30:24Z,"link has an amazing birthday, first day of pride month...💗🧡💛💚💙💜<br><br>also happy b-day link ^^",Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgxQKMRi2y0Keb5Wd_94AaABAg,Stephanie Collins,http://www.youtube.com/channel/UCzsFEXLzWqAmQSB9nfV4tJQ,0,0,2021-06-01T17:23:33Z,2021-06-01T17:23:33Z,This would be better without Stevie.  Then we would all win,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=Ugy4eA-s2KNtToqEhOV4AaABAg,Amber York,http://www.youtube.com/channel/UCn3ONnZ-Zt5khITLPnF2iMQ,0,0,2021-06-01T17:23:22Z,2021-06-01T17:23:22Z,the fact that link is a gemini makes so much sense,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgyjLIkm3aghnghjm_d4AaABAg,mojo,http://www.youtube.com/channel/UCBBDuAnG5CeyDcUBjFiWcbQ,0,0,2021-06-01T11:51:29Z,2021-06-01T11:51:29Z,Happy birthday Linkypoo ❤❤❤❤😘😘😘😘😘🤗🤗🤗🤗🤗❤❤❤❤😘😘😘😘🤗🤗🤗❤❤😘😘😘❤❤🤗🤗😘🤗😘🤗😘🤗😘🤗😘🤗😘🤗😘🤗,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=Ugz2XcNAkXrOOxUOPMF4AaABAg,ORC,http://www.youtube.com/channel/UCD2dTY_IJAc4H1ds6OFgHlw,0,0,2021-06-01T11:51:28Z,2021-06-01T11:51:28Z,Happy borthday,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgwKvCTGy1_4l5od0Pl4AaABAg,Amanda L,http://www.youtube.com/channel/UCpCi83H8j3z7J2XNlRnuqqw,0,0,2021-06-01T11:51:12Z,2021-06-01T11:51:12Z,"What the heck they did something rhet liked on his birthday, why didn't rhet think of link for his birthday",Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=Ugzd2sX7vRYIOWQzmxl4AaABAg,BandUp ENT,http://www.youtube.com/channel/UCANcFlzmahU5vEQACr-cXCQ,0,0,2021-06-01T11:51:01Z,2021-06-01T11:51:01Z,HAPPY BIRTHDAY LINK 🙏❤️💯🎊🎂🎈🎁🎉,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgwcQOSw8eO70hVo0214AaABAg,Spooky's World,http://www.youtube.com/channel/UCy5r08JI9niKZDWYpUIcKYQ,0,0,2021-06-01T11:49:07Z,2021-06-01T11:49:07Z,Happy birthday Link. If you ask the Mythical Mom's about hair in the food. I would bet they would have something to say about it. Please bring them back. Thank you,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgzHhk3c7CC-9u8e_u54AaABAg,Lillian LoveHeart,http://www.youtube.com/channel/UCGzGMo9XnUyLUqBziaPPjSg,0,0,2021-06-01T11:48:58Z,2021-06-01T11:48:58Z,Happy birthday Link!,Which food would you rather?,,,,
